UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,TUR,AMS,ECM2,ECM6,PRB,IF,APC,CAR,ART,STL,MHQ,,,,,SpecialRules,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7,,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Vehicle,"Maxim Mk II Transport (Infantry Support) ""Shiloh""","Maxim Mk II Transport (Infantry Support) ""Shiloh""",,Maxim Mk II Transport,"(Infantry Support) ""Shiloh""",Sniper,32,828,CV,2,50,"16""h",2,2,2,0,8H,4,AAAA,3,SSS,+3,6,5,32,38,"CASE,IF0*,IT8,SRCH,TUR(2/2/2,IF0*)",TUR,,,,,,IT8,,,,,,,,,"TUR, IT8",https://i.ibb.co/wshHPXG/falcon-hover-tank-rg.png,4154,"Light Machine Gun - 3x1 @ 2/4/6
LB 10-X AC (Slug) - 2x10 @ 6/12/18
-- OR -- - x @ 
LB 10-X AC (Pellet) - 20x1 @ 6/12/18",Light Machine Gun,3,1,2/4/6,LB 10-X AC (Slug),2,10,6/12/18,-- OR --,,,,LB 10-X AC (Pellet),20,1,6/12/18,,,,,,,,,,,,,3x1,2x10,,20x1,,,,,,,,,,,,,,,
Vehicle,Merkava Heavy Tank Mk IX,Merkava Heavy Tank Mk IX,,Merkava Heavy Tank,Mk IX,Missile Boat,28,1038,CV,3,75,"8""t",3,3,2,0,4T,5,AAAAA,4,SSSS,+1,6,5,28,34,"IF1,SRCH,TUR(3/3/2,IF1)",TUR,,,,,IF1,,,,,,,,,,"TUR, IF1",https://i.ibb.co/SxzjHwJ/fulcrum-proto.png,4188,Medium Pulse Laser - 2x6 @ 2/4/6,Medium Pulse Laser,2,6,2/4/6,,,,,,,,,,,,,,,,,,,,,,,,,2x6,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns,Federated Suns,Federated Suns
Vehicle,Merkava Heavy Tank Mk VIII,Merkava Heavy Tank Mk VIII,,Merkava Heavy Tank,Mk VIII,Missile Boat,25,879,CV,3,75,"8""t",2,2,2,0,4T,5,AAAAA,4,SSSS,+1,6,5,25,30,"IF1,SRCH,TUR(2/2/2,IF1)",TUR,,,,,IF1,,,,,,,,,,"TUR, IF1",https://i.ibb.co/hRwrrkR/fulcrum-3058u.png,1154,Medium Pulse Laser - 1x6 @ 2/4/6,Medium Pulse Laser,1,6,2/4/6,,,,,,,,,,,,,,,,,,,,,,,,,1x6,,,,,,,,,,,,,,,,,,
Vehicle,MHI Amphibious APC,MHI Amphibious APC,,MHI Amphibious APC,,Scout,16,564,CV,1,35,"10""w",1,1,0,0,5W,4,AAAA,2,SS,+2,6,5,16,19,"AMP,IT8,SRCH,TUR(1/1/-)",TUR,,,,,,IT8,,,,,,,,,"TUR, IT8",https://i.ibb.co/hRwrrkR/fulcrum-3058u.png,1155,Magshot Gauss Rifle - 8x2 @ 3/6/9,Magshot Gauss Rifle,8,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,8x2,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance","Federated Suns, Lyran Commonwealth, Republic of the Sphere","Federated Suns, Lyran Commonwealth, Republic of the Sphere","Clan Jade Falcon, Federated Suns, Lyran Commonwealth, Republic of the Sphere","Alyina Mercantile League, Clan Jade Falcon, Federated Suns, Lyran Commonwealth, Tamar Pact, Vesper Marches"
Vehicle,MHI Defense AA Tank,MHI Defense AA Tank,,MHI Defense AA Tank,,Sniper,24,1026,CV,3,60,"8""t",2,2,2,0,4T,6,AAAAAA,3,SSS,+1,6,5,24,29,"AMP,CASE,FLK1/1/1,SRCH,TUR(2/2/2,FLK1/1/1)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/hRwrrkR/fulcrum-3058u.png,1156,Medium Pulse Laser - 2x6 @ 2/4/6,Medium Pulse Laser,2,6,2/4/6,,,,,,,,,,,,,,,,,,,,,,,,,2x6,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Suns, Lyran Alliance, Marian Hegemony, Mercenary","Federated Suns, Lyran Commonwealth, Marian Hegemony, Mercenary, Republic of the Sphere, Taurian Concordat","Federated Suns, Lyran Commonwealth, Marian Hegemony, Mercenary, Republic of the Sphere, Taurian Concordat","Federated Suns, Lyran Commonwealth, Marian Hegemony, Mercenary, Republic of the Sphere, Taurian Concordat","Federated Suns, Lyran Commonwealth, Marian Hegemony, Mercenary, Tamar Pact, Taurian Concordat, Vesper Marches"
Vehicle,Minion Advanced Tactical Vehicle,Minion Advanced Tactical Vehicle,,Minion Advanced Tactical Vehicle,,Striker,25,456,CV,1,20,"18""h",2,2,0,0,9H,3,AAA,1,S,+3,6,5,25,30,"C3S,ENE,MHQ1,SRCH",,,,,,,,,,,,,,,,,https://i.ibb.co/hRwrrkR/fulcrum-3058u.png,1157,Medium Pulse Laser - 2x6 @ 2/4/6,Medium Pulse Laser,2,6,2/4/6,,,,,,,,,,,,,,,,,,,,,,,,,2x6,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Suns, Unique",Extinct,Extinct,Extinct,Extinct
Vehicle,"Minion Advanced Tactical Vehicle ""Silver Bullet""","Minion Advanced Tactical Vehicle ""Silver Bullet""",,Minion Advanced Tactical Vehicle,"""Silver Bullet""",Scout,22,560,CV,1,20,"22""h",1,1,0,0,11H,3,AAA,1,S,+4,5,4,26,30,"AMS,ENE,RFA,SRCH",,AMS,,,,,,,,,,,,,,AMS,https://i.ibb.co/mFBcMYx/hachiman-3060.png,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,"Minion Advanced Tactical Vehicle (Gauss) ""Sandblaster""","Minion Advanced Tactical Vehicle (Gauss) ""Sandblaster""",,Minion Advanced Tactical Vehicle,"(Gauss) ""Sandblaster""",Striker,23,512,CV,1,20,"18""h",2,2,0,0,9H,3,AAA,1,S,+3,6,5,23,28,SRCH,,,,,,,,,,,,,,,,,https://i.ibb.co/mFBcMYx/hachiman-3060.png,1358,Flamer - 1x2 @ 1/2/3,Flamer,1,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,1x2,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Snow Raven, Outworlds Alliance","Clan Diamond Shark, Outworlds Alliance, Rasalhague Dominion, Raven Alliance","Clan Sea Fox, Rasalhague Dominion, Raven Alliance","Clan Sea Fox, Rasalhague Dominion, Raven Alliance","Clan Protectorate, Clan Sea Fox, Rasalhague Dominion, Raven Alliance"
Vehicle,Minion Advanced Tactical Vehicle (TAG),Minion Advanced Tactical Vehicle (TAG),,Minion Advanced Tactical Vehicle,(TAG),Striker,23,456,CV,1,20,"18""h",2,2,0,0,9H,3,AAA,1,S,+3,6,5,23,28,"ENE,SRCH,TAG",,,,,,,,,,,,,,,,,https://i.ibb.co/5GjvY3c/hadur-3150.png,6248,"ER Medium Laser - 2x7 @ 5/10/15
Ultra AC/2 - 2x2 @ 9/18/27",ER Medium Laser,2,7,5/10/15,Ultra AC/2,2,2,9/18/27,,,,,,,,,,,,,,,,,,,,,2x7,2x2,,,,,,,,,,,,,,,,,
Vehicle,Minion Advanced Tactical Vehicle (Targeting Computer),Minion Advanced Tactical Vehicle (Targeting Computer),,Minion Advanced Tactical Vehicle,(Targeting Computer),Striker,23,508,CV,1,20,"18""h",2,2,0,0,9H,3,AAA,1,S,+3,5,4,28,33,"ENE,SRCH",,,,,,,,,,,,,,,,,https://i.ibb.co/5GjvY3c/hadur-3150.png,8050,"AP Gauss Rifle - 1x3 @ 3/6/9
ER Large Laser - 1x10 @ 8/15/25",AP Gauss Rifle,1,3,3/6/9,ER Large Laser,1,10,8/15/25,,,,,,,,,,,,,,,,,,,,,1x3,1x10,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Hell's Horses,Clan Hell's Horses
Vehicle,MIT 23 MASH Vehicle,MIT 23 MASH Vehicle,,MIT 23 MASH Vehicle,,Scout,7,153,CV,1,20,"10""w",0,0,0,0,5W,2,AA,1,S,+2,6,5,7,8,"ENE,MASH7,SRCH",,,,,,,,,,,,,,,,,https://i.ibb.co/5GjvY3c/hadur-3150.png,8051,Medium Laser - 1x5 @ 3/6/9,Medium Laser,1,5,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Hell's Horses,Clan Hell's Horses
Vehicle,MIT 24 MASH Vehicle,MIT 24 MASH Vehicle,,MIT 24 MASH Vehicle,,None,9,206,CV,1,20,"12""w",0,0,0,0,6W,2,AA,2,SS,+2,6,5,9,11,"ENE,MASH11,SRCH",,,,,,,,,,,,,,,,,https://i.ibb.co/b3qG7Cp/harrier-hover-tank-rg.png,9436,Large Laser - 1x8 @ 5/10/15,Large Laser,1,8,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,1x8,,,,,,,,,,,,,,,,,,
Vehicle,Mithras Light Tank,Mithras Light Tank,,Mithras Light Tank,,Striker,17,670,CV,1,25,"12""t",2,2,0,0,6T,2,AA,2,SS,+2,5,4,20,23,"CASE,SRCH,TUR(1/1/0*)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/b3qG7Cp/harrier-hover-tank-rg.png,9454,LRM 10 - 1x5 @ 7/14/21,LRM 10,1,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,,,Unknown,Unknown,Unknown,"Federated Suns, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth, Mercenary","Federated Commonwealth, Federated Suns, Lyran Alliance, Mercenary, Word of Blake","Federated Suns, Filtvelt Coalition, Lyran Alliance, Mercenary, Word of Blake","Capellan Confederation, Federated Suns, Filtvelt Coalition, Lyran Commonwealth, Mercenary, Republic of the Sphere","Capellan Confederation, Federated Suns, Filtvelt Coalition, Free Worlds League (Duchy of Andurien), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Oriente Protectorate), Lyran Commonwealth, Mercenary, Republic of the Sphere","Calderon Protectorate, Federated Suns, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Oriente Protectorate), Fronc Reaches, Lyran Commonwealth, Magistracy of Canopus, Mercenary, Republic of the Sphere, Taurian Concordat","Clan Protectorate, Federated Suns, Free Worlds League, Free Worlds League (Duchy of Andurien), Lyran Commonwealth, Mercenary, Periphery General, Tamar Pact, Vesper Marches, Wolf Empire"
Vehicle,Mithras Light Tank (ERLL),Mithras Light Tank (ERLL),,Mithras Light Tank,(ERLL),Sniper,18,750,CV,1,25,"12""t",2,2,2,0,6T,2,AA,2,SS,+2,4,3,26,30,"CASE,SRCH,TUR(2/2/2)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/b3qG7Cp/harrier-hover-tank-rg.png,9455,Medium Laser - 1x5 @ 3/6/9,Medium Laser,1,5,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Suns, Free Worlds League, Republic of the Sphere","Capellan Confederation, Clan Protectorate, Draconis Combine, Federated Suns, Free Worlds League, Free Worlds League (Duchy of Andurien), Mercenary"
Vehicle,Mobile Headquarters,Mobile Headquarters,!,Mobile Headquarters,,None,21,319,CV,1,25,"12""w",1,1,0,0,6W,3,AAA,2,SS,+2,6,5,21,25,"CT0.5,ENE,MHQ7,RCN,SRCH,TUR(1/1/-)",TUR,,,,,,,,,,HQ,,,,,"TUR, HQ",https://i.ibb.co/LrjZnd2/hawk-hover-tank.png,5587,Large Laser - 1x8 @ 5/10/15,Large Laser,1,8,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,1x8,,,,,,,,"Inner Sphere General, Mercenary, Periphery General, Star League General","ComStar, Inner Sphere General, Mercenary, Periphery General","ComStar, Inner Sphere General, Mercenary, Periphery General","ComStar, Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General"
Vehicle,Mobile Headquarters (ICE - LL),Mobile Headquarters (ICE - LL),,Mobile Headquarters,(ICE - LL),None,12,249,CV,1,25,"6""w",1,1,0,0,3W,1,A,2,SS,+1,6,5,12,14,"EE,ENE,MHQ2,RCN,SRCH",,,,,,,,,,,,,,,,,https://i.ibb.co/CVrWmsY/jes-i-3075.png,1703,LRM 10 - 1x5 @ 7/14/21,LRM 10,1,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,,,,,,,,,,,,,
Vehicle,Mobile Headquarters (ICE - LRM),Mobile Headquarters (ICE - LRM),,Mobile Headquarters,(ICE - LRM),None,19,387,CV,1,25,"10""w",0,1,1,0,5W,3,AAA,2,SS,+2,6,5,19,23,"CT0.5,EE,IF1,MHQ2,RCN,SRCH,TUR(0*/1/1,IF1)",TUR,,,,,IF1,,,,,,,,,,"TUR, IF1",https://i.ibb.co/CVrWmsY/jes-i-3075.png,1702,Machine Gun - 4x2 @ 1/2/3,Machine Gun,4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Rasalhague Dominion, Wolf's Dragoons","Clan Jade Falcon, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Rasalhague Dominion, Wolf's Dragoons","Alyina Mercantile League, Clan Jade Falcon, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Rasalhague Dominion, Star League (Clan Jade Falcon), Wolf Empire, Wolf's Dragoons"
Vehicle,Mobile Headquarters (ICE),Mobile Headquarters (ICE),,Mobile Headquarters,(ICE),None,18,319,CV,1,25,"12""w",1,1,0,0,6W,3,AAA,2,SS,+2,6,5,18,22,"EE,ENE,MHQ2,RCN,SRCH,TUR(1/1/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/cDGTKLB/kanga-3050u.png,1745,Machine Gun - 4x2 @ 1/2/3,Machine Gun,4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
Vehicle,Mobile Headquarters (LL),Mobile Headquarters (LL),,Mobile Headquarters,(LL),None,19,435,CV,1,25,"12""w",1,1,0,0,6W,3,AAA,2,SS,+2,6,5,19,23,"ENE,MHQ3,RCN,SRCH,TUR(1/1/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/cDGTKLB/kanga-3050u.png,1744,Machine Gun - 4x2 @ 1/2/3,Machine Gun,4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,Unknown,Star League in Exile,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Vehicle,Mobile Headquarters (LRM),Mobile Headquarters (LRM),,Mobile Headquarters,(LRM),None,20,402,CV,1,25,"12""w",0,1,1,0,6W,3,AAA,2,SS,+2,6,5,20,24,"IF1,MHQ2,RCN,SRCH,TUR(0*/1/1,IF1)",TUR,,,,,IF1,,,,,,,,,,"TUR, IF1",https://i.ibb.co/cDGTKLB/kanga-3050u.png,1746,"Light Gauss Rifle - 2x8 @ 8/17/25
ER Large Laser - 1x8 @ 7/14/19",Light Gauss Rifle,2,8,8/17/25,ER Large Laser,1,8,7/14/19,,,,,,,,,,,,,,,,,,,,,2x8,1x8,,,,,,,,,,,,,,,,,
Vehicle,Mobile Long Tom Artillery LT-MOB-25,Mobile Long Tom Artillery LT-MOB-25,!,Mobile Long Tom Artillery,LT-MOB-25,Missile Boat,37,835,CV,2,75,"4""t",1,0,0,0,2T,2,AA,3,SSS,0,6,5,37,44,"ARTLT-1,EE,HTC,MHQ2,SRCH",,,,,,,,,ARTLT-1,,,,,,,ARTLT-1,https://i.ibb.co/gdwcBzc/ku-3060.png,1846,"Snub-Nose PPC - 1x8 @ 9/13/15
MML 7 - 5x5 @ 3/14/21",Snub-Nose PPC,1,8,9/13/15,MML 7,5,5,3/14/21,,,,,,,,,,,,,,,,,,,,,1x8,5x5,,,,,,,,,,,,,,,,,
Vehicle,Mobile Long Tom Artillery LT-MOB-25F,Mobile Long Tom Artillery LT-MOB-25F,!,Mobile Long Tom Artillery,LT-MOB-25F,Missile Boat,37,726,cv,3,65,"6""t",1,0,0,0,3T,2,AA,4,SSSS,+1,6,5,37,44,"ARTLT-1,CASE,EE,HTC,SRCH",,,,,,,,,ARTLT-1,,,,,,,ARTLT-1,https://i.ibb.co/gdwcBzc/ku-3060.png,1845,"LB 10-X AC (Slug) - 2x10 @ 6/12/18
-- OR -- - x @ 
LB 10-X AC (Pellet) - 20x1 @ 6/12/18
Plasma Rifle - 1x10 @ 5/10/15",LB 10-X AC (Slug),2,10,6/12/18,-- OR --,,,,LB 10-X AC (Pellet),20,1,6/12/18,Plasma Rifle,1,10,5/10/15,,,,,,,,,,,,,2x10,,20x1,1x10,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Hell's Horses,"Clan Hell's Horses, Clan Jade Falcon","Clan Hell's Horses, Clan Jade Falcon","Clan Hell's Horses, Clan Jade Falcon","Alyina Mercantile League, Clan Hell's Horses, Clan Jade Falcon, Star League (Clan Jade Falcon)"
Vehicle,Mobile Long Tom Artillery LT-MOB-95,Mobile Long Tom Artillery LT-MOB-95,,Mobile Long Tom Artillery,LT-MOB-95,Missile Boat,36,1348,cv,4,95,"6""t",1,0,0,0,3T,2,AA,3,SSS,+1,6,5,36,43,"ARTLT-1,CASE,EE,HTC,SRCH",,,,,,,,,ARTLT-1,,,,,,,ARTLT-1,https://i.ibb.co/NTsPKM1/maxim-rg.png,2127,"AC/10 - 1x10 @ 5/10/15
Machine Gun - 3x2 @ 1/2/3",AC/10,1,10,5/10/15,Machine Gun,3,2,1/2/3,,,,,,,,,,,,,,,,,,,,,1x10,3x2,,,,,,,,,,,,,,,,,
Vehicle,Moltke MBT M1,Moltke MBT M1,,Moltke MBT,M1,Sniper,32,1355,CV,3,75,"8""t",2,3,3,0,4T,8,AAAAAAAA,4,SSSS,+1,6,5,32,38,"SRCH,TUR(2/3/3)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/NTsPKM1/maxim-rg.png,2118,"AC/5 - 1x5 @ 6/12/18
Machine Gun - 3x2 @ 1/2/3",AC/5,1,5,6/12/18,Machine Gun,3,2,1/2/3,,,,,,,,,,,,,,,,,,,,,1x5,3x2,,,,,,,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Vehicle,Moltke MBT M2,Moltke MBT M2,,Moltke MBT,M2,Missile Boat,38,1363,CV,3,75,"8""t",5,4,2,0,4T,8,AAAAAAAA,4,SSSS,+1,6,5,38,46,"IF2,LRM0/2/2,SRCH,SRM4/2,TUR(5/3/2,SRM3/1,LRM0/1/2,IF2)",TUR,,,,,IF2,,,,,,,,,,"TUR, IF2",https://i.ibb.co/NTsPKM1/maxim-rg.png,2119,Magshot Gauss Rifle - 3x2 @ 3/6/9,Magshot Gauss Rifle,3,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,3x2,,,,,,,,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Vehicle,Moltke MBT M3,Moltke MBT M3,,Moltke MBT,M3,Sniper,33,1438,CV,3,75,"8""t",3,3,2,0,4T,8,AAAAAAAA,4,SSSS,+1,6,5,33,40,"FLK1/1/1,SRCH,TAG,TUR(3/3/2,FLK1/1/1,TAG)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/NTsPKM1/maxim-rg.png,2120,"AC/10 - 1x10 @ 5/10/15
Large Laser - 1x8 @ 5/10/15",AC/10,1,10,5/10/15,Large Laser,1,8,5/10/15,,,,,,,,,,,,,,,,,,,,,1x10,1x8,,,,,,,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Vehicle,Morningstar City Command Vehicle,Morningstar City Command Vehicle,,Morningstar City Command Vehicle,,Skirmisher,30,736,CV,3,60,"10""w",2,2,0,0,5W,5,AAAAA,3,SSS,+2,5,4,36,42,"AC1/1/-,C3M,IT4,MHQ5,SRCH,TAG,TUR(2/2/-,AC1/1/-)",TUR,,,,,,IT4,,,,HQ,,,,,"TUR, IT4, HQ",https://i.ibb.co/NTsPKM1/maxim-rg.png,2122,"ER Large Laser - 2x10 @ 8/15/25
LRM 15 - 4x5 @ 7/14/21
SRM 2 - 4x2 @ 3/6/9",ER Large Laser,2,10,8/15/25,LRM 15,4,5,7/14/21,SRM 2,4,2,3/6/9,,,,,,,,,,,,,,,,,2x10,4x5,4x2,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Vehicle,Morningstar City Command Vehicle (Company Command),Morningstar City Command Vehicle (Company Command),,Morningstar City Command Vehicle,(Company Command),Skirmisher,31,680,CV,3,60,"10""w",2,1,1,0,5W,5,AAAAA,3,SSS,+2,5,4,36,42,"C3M2,ECM,IT4,MHQ10,SRCH,TAG,TUR(1/1/1)",TUR,,,ECM,,,IT4,,,,HQ,,,,,"TUR, ECM, IT4, HQ",https://i.ibb.co/NTsPKM1/maxim-rg.png,2123,"SRM 2 - 4x2 @ 3/6/9
HAG/40 - 6x5 @ 8/16/24
LRM 15 - 4x5 @ 7/14/21",SRM 2,4,2,3/6/9,HAG/40,6,5,8/16/24,LRM 15,4,5,7/14/21,,,,,,,,,,,,,,,,,4x2,5x1,4x5,,,,,,Unknown,Unknown,Unknown,Unknown,"Clan Blood Spirit, Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Goliath Scorpion, Clan Ice Hellion, Clan Snow Raven, Clan Star Adder, Clan Steel Viper, IS Clan General, Wolf's Dragoons","HW Clan General, IS Clan General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, IS Clan General, Society, Wolf's Dragoons","Escorpión Imperio, IS Clan General, Wolf's Dragoons","Escorpión Imperio, IS Clan General, Wolf's Dragoons","Escorpión Imperio, IS Clan General, Scorpion Empire, Wolf's Dragoons","IS Clan General, Kell Hounds, Scorpion Empire, Wolf's Dragoons"
Vehicle,Morningstar City Command Vehicle (HPG),Morningstar City Command Vehicle (HPG),,Morningstar City Command Vehicle,(HPG),None,17,458,CV,3,60,"10""w",1,1,0,0,5W,4,AAAA,3,SSS,+2,6,5,17,20,"HPG,IT6,SRCH",,,,,,,IT6,,,,,,,,,IT6,https://i.ibb.co/NTsPKM1/maxim-rg.png,9312,ER Large Laser - 3x10 @ 8/15/25,ER Large Laser,3,10,8/15/25,,,,,,,,,,,,,,,,,,,,,,,,,3x10,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Vehicle,Morningstar City Command Vehicle (Laser),Morningstar City Command Vehicle (Laser),,Morningstar City Command Vehicle,(Laser),Skirmisher,23,940,CV,3,60,"10""w",2,2,0,0,5W,5,AAAAA,3,SSS,+2,5,4,28,33,"AC1/1/-,IT4,SRCH,TUR(2/2/-,AC1/1/-)",TUR,,,,,,IT4,,,,,,,,,"TUR, IT4",https://i.ibb.co/NTsPKM1/maxim-rg.png,2124,'Mech Mortar 8 - 3x8 @ 7/14/21,'Mech Mortar 8,3,8,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,3x8,,,,,,,,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
