Name,Class,Model,Role,PV,BV,Type,Size,Tonnage,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,MULId,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Maxim Heavy Hover Transport (Anti-Infantry),Maxim Heavy Hover Transport,(Anti-Infantry),Striker,30,715,CV,2,50,"16""h",3,2,1,0,3,3,"EE,IF1,IT3,SRCH,TAG,TUR(2/1/-,TAG)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2118,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Maxim Heavy Hover Transport (BA Factory Upgrade),Maxim Heavy Hover Transport,(BA Factory Upgrade),Striker,36,794,CV,2,50,"16""h",3,3,1,0,4,3,"EE,IF1,IT4,SRCH,TUR(2/1/-)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2119,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Maxim Heavy Hover Transport (BA Field Upgrade),Maxim Heavy Hover Transport,(BA Field Upgrade),Striker,36,817,CV,2,50,"16""h",2,3,1,0,4,3,"EE,IF1,IT4,SRCH,TAG,TUR(1/1/-,TAG)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2120,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Maxim Heavy Hover Transport (C3M),Maxim Heavy Hover Transport,(C3M),Striker,42,817,CV,2,50,"16""h",2,3,1,0,4,3,"C3M,EE,IF1,MHQ5,SRCH,TAG,TUR(1/1/-)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2121,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Maxim Heavy Hover Transport (C3S),Maxim Heavy Hover Transport,(C3S),Striker,38,773,CV,2,50,"16""h",2,3,1,0,4,3,"C3S,EE,IF1,IT4,MHQ1,SRCH,TAG,TUR(1/1/-,TAG)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2122,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Maxim Heavy Hover Transport (Clan),Maxim Heavy Hover Transport,(Clan),Striker,38,1147,CV,2,50,"16""h",3,3,1,0,4,3,"CASE,ECM,EE,IF1,IT6,SRCH,TUR(2/2/-)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2123,Unknown,Unknown,Unknown,Unknown,"Clan Blood Spirit, Clan Cloud Cobra, Clan Coyote, Clan Fire Mandrill, Clan Goliath Scorpion, Clan Ice Hellion, Clan Snow Raven, Clan Star Adder, Clan Steel Viper, IS Clan General, Wolf's Dragoons","HW Clan General, IS Clan General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, IS Clan General, Society, Wolf's Dragoons","Escorpión Imperio, IS Clan General, Wolf's Dragoons","Escorpión Imperio, IS Clan General, Wolf's Dragoons","Escorpión Imperio, IS Clan General, Scorpion Empire, Wolf's Dragoons","IS Clan General, Kell Hounds, Scorpion Empire, Wolf's Dragoons"
Maxim Heavy Hover Transport (Escort),Maxim Heavy Hover Transport,(Escort),Striker,37,835,CV,2,50,"16""h",4,3,1,0,4,3,"FC,IF1,REAR1/1/0*,SRCH,TUR(2/2/-)",https://i.ibb.co/NTsPKM1/maxim-rg.png,9312,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Maxim Heavy Hover Transport (Fire Support),Maxim Heavy Hover Transport,(Fire Support),Missile Boat,33,869,CV,2,50,"16""h",2,2,2,0,4,3,"EE,IF2,IT3,LRM1/2/2,SRCH,TUR(1/1/1,IF1)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2124,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Rasalhague Dominion, Wolf's Dragoons"
Maxim Heavy Hover Transport (SRM2),Maxim Heavy Hover Transport,(SRM2),Striker,29,763,CV,2,50,"16""h",3,2,1,0,3,3,"EE,IF1,IT3,SRCH,SRM1/1,TUR(2/2/-,SRM1/1)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2125,Unknown,Unknown,"Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Periphery General",Extinct,Extinct
Maxim Heavy Hover Transport (SRM4),Maxim Heavy Hover Transport,(SRM4),Striker,27,682,CV,2,50,"16""h",3,2,0,0,3,3,"EE,IT3,SRCH,SRM2/2,TUR(2/1/-)",https://i.ibb.co/NTsPKM1/maxim-rg.png,2126,Unknown,"Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Periphery General","Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Rim Commonality), Mercenary, Periphery General","Free Worlds League, Free Worlds League (Duchy of Andurien), Mercenary, Periphery General"
Maxim Mk II Transport  ,Maxim Mk II Transport, ,Striker,25,476,CV,2,50,"16""h",1,1,0,0,4,3,"CASE,IF0*,IT16,SRCH,TUR(1/1/0*,IF0*)",https://i.ibb.co/5nYvLzm/maxim-mk-ii-3085.png,2129,,,,,,,,,,,
Maxim Mk II Transport (ECM),Maxim Mk II Transport,(ECM),Scout,24,483,CV,2,50,"16""h",0,0,0,0,4,3,"ECM,IT16,SRCH,TUR(0*/0*/-)",https://i.ibb.co/5nYvLzm/maxim-mk-ii-3085.png,6787,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Lyran Commonwealth, Mercenary, Republic of the Sphere","Lyran Commonwealth, Mercenary, Republic of the Sphere","Draconis Combine, Lyran Commonwealth, Mercenary, Republic of the Sphere","Draconis Combine, Lyran Commonwealth, Mercenary, Tamar Pact, Vesper Marches"
"Maxim Mk II Transport (Infantry Support) ""Shiloh""",Maxim Mk II Transport,"(Infantry Support) ""Shiloh""",Sniper,32,828,CV,2,50,"16""h",2,2,2,0,4,3,"CASE,IF0*,IT8,SRCH,TUR(2/2/2,IF0*)",https://i.ibb.co/5nYvLzm/maxim-mk-ii-3085.png,2128,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Lyran Commonwealth, Republic of the Sphere","Lyran Commonwealth, Republic of the Sphere","Clan Jade Falcon, Lyran Commonwealth, Republic of the Sphere","Alyina Mercantile League, Clan Jade Falcon, Lyran Commonwealth, Tamar Pact, Vesper Marches"
Musketeer Hover Tank  ,Musketeer Hover Tank, ,Striker,34,1120,CV,2,50,"14""h",3,3,0,0,4,3,"CASE,EE,SRCH,TAG,TUR(3/3/-)",https://i.ibb.co/D1dDdNJ/musketeer-3067.png,4688,,,,,,,,,,,
Musketeer Hover Tank (3080 Upgrade),Musketeer Hover Tank,(3080 Upgrade),Striker,33,1114,CV,2,50,"16""h",2,2,0,0,5,3,"CASE,IT4,SRCH,TAG,TUR(2/2/-)",https://i.ibb.co/D1dDdNJ/musketeer-3067.png,5731,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,"Federated Suns, Republic of the Sphere","Federated Suns, Republic of the Sphere","Draconis Combine, Federated Suns, Republic of the Sphere","Draconis Combine, Federated Suns"
Musketeer Hover Tank (Armor),Musketeer Hover Tank,(Armor),Striker,36,897,CV,2,50,"14""h",2,2,1,0,6,3,"CASE,EE,SRCH,TAG,TUR(2/2/1)",https://i.ibb.co/D1dDdNJ/musketeer-3067.png,4687,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns,Federated Suns,"Draconis Combine, Federated Suns","Draconis Combine, Federated Suns"
Partisan AA Vehicle  ,Partisan AA Vehicle, ,Sniper,16,597,CV,2,50,"10""w",1,1,1,0,3,3,"FLK1/1/1,SRCH,TUR(1/1/1,FLK1/1/1)",https://i.ibb.co/0FLcNcc/partisan-aa-3150.jpg,6494,,,,,,,,,,,
Partisan AA Vehicle (3134 Upgrade),Partisan AA Vehicle,(3134 Upgrade),Sniper,15,553,CV,2,50,"10""w",0,1,1,0,3,3,"CASE,SRCH,TUR(0*/1/1)",https://i.ibb.co/0FLcNcc/partisan-aa-3150.jpg,6495,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Free Worlds League,Free Worlds League
Regulator II Hovertank  ,Regulator II Hovertank, ,Sniper,43,1426,CV,2,50,"20""h",2,2,2,0,6,3,"SRCH,TUR(2/2/2)",https://i.ibb.co/vmm54KC/regulator-ii-3085.png,2679,,,,,,,,,,,
Regulator II Hovertank (RAC),Regulator II Hovertank,(RAC),Skirmisher,49,1490,CV,2,50,"20""h",3,3,0,0,6,3,"ECM,SRCH,TUR(3/3/-)",https://i.ibb.co/vmm54KC/regulator-ii-3085.png,2678,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Republic of the Sphere,Republic of the Sphere,"Star League (Clan Jade Falcon), Star League (Clan Smoke Jaguar), Star League (Clan Wolf)"
Regulator II Hovertank (Stealth),Regulator II Hovertank,(Stealth),Scout,34,971,CV,2,50,"20""h",1,1,1,0,4,3,"ECM,SRCH,STL,TUR(1/1/1)",https://i.ibb.co/vmm54KC/regulator-ii-3085.png,2680,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Capellan Confederation,Capellan Confederation,Capellan Confederation,Capellan Confederation
Sabaku Kaze Heavy Scout Hover Tank  ,Sabaku Kaze Heavy Scout Hover Tank, ,Striker,38,997,CV,2,50,"18""h",4,3,0,0,5,3,"REAR1/1/-,SRCH,TUR(3/2/-)",https://i.ibb.co/HGg4rQT/sabaku-kaze-3075.png,2761,,,,,,,,,,,
Schildkröte Line Tank  ,Schildkröte Line Tank, ,Sniper,28,1009,CV,2,50,"6""t",2,2,2,0,7,3,"AMS,ARS,CASE,FLK1/1/1,SRCH,TUR(2/2/2,AMS,FLK1/1/1)",https://i.ibb.co/1RH31bF/schildkrote-3150.png,6599,,,,,,,,,,,
Schildkröte Line Tank (HPPC),Schildkröte Line Tank,(HPPC),Sniper,28,1057,CV,2,50,"6""t",2,2,2,0,7,3,"AMS,ARS,CASE,SRCH,TUR(2/2/2,AMS)",https://i.ibb.co/1RH31bF/schildkrote-3150.png,6600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Lyran Commonwealth, Mercenary","Lyran Commonwealth, Mercenary, Tamar Pact, Vesper Marches"
Schildkröte Line Tank (Light Gauss),Schildkröte Line Tank,(Light Gauss),Sniper,24,954,cv,2,50,"6""t",1,1,1,0,7,3,"AMS,ARS,CASE,SRCH,TUR(1/1/1,AMS)",https://i.ibb.co/1RH31bF/schildkrote-3150.png,8054,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Lyran Commonwealth, Mercenary","Lyran Commonwealth, Mercenary"
Schildkröte Line Tank (Plasma),Schildkröte Line Tank,(Plasma),Sniper,29,1104,cv,2,50,"6""t",3,2,1,0,7,3,"AMS,ARS,CASE,IF0*,SRCH,TAG,TUR(3/2/1,AMS,IF0*,TAG)",https://i.ibb.co/1RH31bF/schildkrote-3150.png,8055,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Lyran Commonwealth, Mercenary","Lyran Commonwealth, Mercenary"
Sheriff Infantry Support Tank  ,Sheriff Infantry Support Tank, ,Brawler,23,810,CV,2,50,"10""w",1,1,0,0,7,3,"AC1/1/-,CASE,FC,SRCH,TUR(1/1/-,AC1/1/-)",https://i.ibb.co/Xzzcy9X/sheriff-3150.png,6443,,,,,,,,,,,
Sleipnir APC Tank  ,Sleipnir APC Tank, ,Brawler,18,505,CV,2,50,"10""w",2,1,0,0,4,3,"EE,HTC,IT4,SRCH,TUR(2/1/-)",https://i.ibb.co/ypsWZD0/sleipnir-ha.png,7613,,,,,,,,,,,
Sleipnir APC Tank (SRM),Sleipnir APC Tank,(SRM),Brawler,22,553,CV,2,50,"10""w",3,2,0,0,4,3,"EE,HTC,IT4,SRCH,SRM2/2,TUR(3/2/-,SRM2/2)",https://i.ibb.co/ypsWZD0/sleipnir-ha.png,7614,Unknown,Unknown,Periphery General,Periphery General,Periphery General,Periphery General,Periphery General,Pirates,Pirates,Pirates,Pirates
SM Tank Destroyer SM1,SM Tank Destroyer,SM1,Striker,42,1585,CV,2,50,"16""h",4,4,0,0,5,3,"CASE,SRCH,TUR(0*/0*/-)",https://i.ibb.co/FKH1y5T/sm1-tank-destroyer-rg.png,2971,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Nova Cat, Draconis Combine","Clan Nova Cat, Draconis Combine, Republic of the Sphere","Clan Nova Cat, Draconis Combine, Kell Hounds, Lyran Commonwealth, Mercenary, Republic of the Sphere","Clan Nova Cat, Inner Sphere General, Kell Hounds, Mercenary","Clan Protectorate, Inner Sphere General, Kell Hounds, Mercenary"
"SM Tank Destroyer SM1 ""Telos""",SM Tank Destroyer,"SM1 ""Telos""",Missile Boat,29,1055,CV,2,50,"16""h",1,1,1,0,4,2,"CASE,ECM,IF1,SRCH,STL",https://i.ibb.co/FKH1y5T/sm1-tank-destroyer-rg.png,5607,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine
SM Tank Destroyer SM1A,SM Tank Destroyer,SM1A,Striker,35,1214,CV,2,50,"16""h",2,2,0,0,5,3,"CASE,FLK1/1/-,LPRB,RCN,SRCH,TUR(0*/0*/-)",https://i.ibb.co/FKH1y5T/sm1-tank-destroyer-rg.png,2972,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Nova Cat, Draconis Combine","Clan Nova Cat, Draconis Combine, Republic of the Sphere","Clan Nova Cat, Draconis Combine, Kell Hounds, Lyran Commonwealth, Mercenary, Republic of the Sphere","Clan Nova Cat, Inner Sphere General, Kell Hounds, Mercenary","Clan Protectorate, Inner Sphere General, Kell Hounds, Mercenary"
SM Tank Destroyer SM1B,SM Tank Destroyer,SM1B,Striker,40,1512,CV,2,50,"16""h",4,4,0,0,3,3,"BRA,LPRB,RCN,SRCH,TUR(0*/0*/-)",https://i.ibb.co/FKH1y5T/sm1-tank-destroyer-rg.png,9565,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons"
SM Tank Destroyer SM3,SM Tank Destroyer,SM3,Striker,39,1593,CV,2,50,"16""h",3,3,2,0,5,3,"CASE,SRCH,TUR(0*/0*/-)",https://i.ibb.co/FKH1y5T/sm1-tank-destroyer-rg.png,2973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Nova Cat, Draconis Combine","Clan Nova Cat, Draconis Combine, Republic of the Sphere","Clan Nova Cat, Draconis Combine, Kell Hounds, Lyran Commonwealth, Mercenary, Republic of the Sphere","Clan Nova Cat, Inner Sphere General, Kell Hounds, Mercenary","Clan Protectorate, Inner Sphere General, Kell Hounds, Mercenary"
SM5 Field Commander (Prototype) Prime,SM5 Field Commander (Prototype),Prime,Striker,44,2147,CV,2,50,"22""h",4,4,0,0,3,3,"BRA,CASE,OMNI,SRCH,TAG,TUR(1/1/-,TAG)",https://i.ibb.co/FKH1y5T/sm1-tank-destroyer-rg.png,8265,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Kell Hounds, Unique"
Sokar Urban Combat Tank  ,Sokar Urban Combat Tank, ,Ambusher,23,599,CV,2,50,"8""w",4,4,0,0,3,3,"CASE,EE,HT1/-/-,SRCH,TUR(3/3/-)",https://i.ibb.co/RPBxrtx/sokar-proto.png,5096,,,,,,,,,,,
Turhan Urban Combat Vehicle  ,Turhan Urban Combat Vehicle, ,Brawler,18,673,CV,2,50,"8""w",2,2,0,0,4,3,"IT5,SRCH,TUR(2/2/-)",https://i.ibb.co/N3pmQ28/turhan-3075.png,3320,,,,,,,,,,,
Turhan Urban Combat Vehicle (C3),Turhan Urban Combat Vehicle,(C3),Brawler,26,709,CV,2,50,"8""w",2,2,0,0,4,3,"AMS,C3M,IT4,MHQ5,SRCH,TAG,TUR(2/2/-,AMS)",https://i.ibb.co/N3pmQ28/turhan-3075.png,3319,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Draconis Combine,"Draconis Combine, Republic of the Sphere","Draconis Combine, Republic of the Sphere","Draconis Combine, Republic of the Sphere",Draconis Combine
Turhan Urban Combat Vehicle (Original),Turhan Urban Combat Vehicle,(Original),Brawler,18,640,CV,2,50,"8""w",2,2,0,0,4,3,"IT5,SRCH,TUR(2/2/-)",https://i.ibb.co/N3pmQ28/turhan-3075.png,5306,"Rim Worlds Republic - Terran Corps, Star League General",Extinct,Extinct,Extinct,Extinct,Extinct,Draconis Combine,Extinct,Extinct,Extinct,Extinct
Vedette Medium Tank  ,Vedette Medium Tank, ,Brawler,16,475,CV,2,50,"10""t",1,1,1,0,3,3,"EE,SRCH,TUR(0*/1/1)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,3395,,,,,,,,,,,
"Vedette Medium Tank ""Doris' Delight""",Vedette Medium Tank,"""Doris' Delight""",Sniper,26,1219,CV,2,50,"12""t",2,2,2,0,5,3,"SRCH,TUR(2/2/2)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,3387,Unknown,Unknown,Unknown,Unknown,Unknown,Unique,Unique,Extinct,Extinct,Extinct,Extinct
Vedette Medium Tank (AC/10),Vedette Medium Tank,(AC/10),Skirmisher,18,649,CV,2,50,"10""t",2,1,0,0,4,3,"AC1/1/-,SRCH,TUR(1/1/-,AC1/1/-)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,8299,Unknown,Unknown,Unknown,Free Worlds League,Free Worlds League,Extinct,Extinct,Escorpión Imperio,Extinct,Extinct,Extinct
Vedette Medium Tank (AC2),Vedette Medium Tank,(AC2),Brawler,14,458,CV,2,50,"10""t",1,0,0,0,3,3,"EE,SRCH,TUR(0*/0*/0*)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,3388,Unknown,Unknown,"Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Raven Alliance","Inner Sphere General, Mercenary, Periphery General, Raven Alliance","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance"
Vedette Medium Tank (Armor),Vedette Medium Tank,(Armor),Brawler,26,944,CV,2,50,"10""t",2,2,2,0,5,3,"CASE,FC,SRCH,TUR(2/2/2)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,9481,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Mercenary, Periphery General, Raven Alliance","Inner Sphere General, Mercenary, Periphery General, Raven Alliance","Inner Sphere General, Mercenary, Periphery General, Raven Alliance"
Vedette Medium Tank (Cell),Vedette Medium Tank,(Cell),Sniper,20,731,CV,2,50,"10""t",2,1,1,0,3,3,"AMS,C3S,CASE,FC,FLK1/1/1,MHQ1,REAR0*/0*/-,SRCH,TUR(1/1/1,FLK1/1/1)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,3389,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Capellan Confederation, Draconis Combine, Federated Suns, Free Worlds League, Kell Hounds, Lyran Alliance, Mercenary, Wolf's Dragoons, Word of Blake","Inner Sphere General, Periphery General","Inner Sphere General, Periphery General","Inner Sphere General, Periphery General","Inner Sphere General, Periphery General"
Vedette Medium Tank (LB-X),Vedette Medium Tank,(LB-X),Sniper,16,552,CV,2,50,"10""t",1,0,0,0,4,3,"EE,FLK0*/0*/0*,SRCH,TUR(0*/0*/0*,FLK0*/0*/0*)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,3390,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Capellan Confederation, Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat"
Vedette Medium Tank (Liao),Vedette Medium Tank,(Liao),Striker,16,495,CV,2,50,"10""t",2,1,0,0,3,3,"EE,SRCH,TUR(1/1/-)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,3391,Unknown,Unknown,Capellan Confederation,"Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact",Capellan Confederation,Capellan Confederation,Capellan Confederation,Extinct,Extinct
Vedette Medium Tank (Light Gauss),Vedette Medium Tank,(Light Gauss),Sniper,14,478,CV,2,50,"10""t",1,1,1,0,2,3,"EE,SRCH,TUR(1/1/1)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,3392,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary"
Vedette Medium Tank (NETC),Vedette Medium Tank,(NETC),Sniper,16,545,CV,2,50,"10""t",1,1,1,0,3,3,"EE,SRCH,TUR(1/1/1)",https://i.ibb.co/720mT6q/vedette-medium-tank-rg.png,3393,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary"
